city;last_updated;temp_c;cloud;humidity;wind_kph
Saint Petersburg;07/01/2024 01:15;-21.0;25;92;4.0
Berlin;06/01/2024 23:15;-1.0;100;74;25.9
Zurich;06/01/2024 23:15;3.0;100;93;3.6
Antalya;07/01/2024 01:30;18.0;75;68;20.2
Limassol;07/01/2024 00:30;13.0;25;82;6.1
city;last_updated;temp_c;cloud;humidity;wind_kph
Saint Petersburg;2024-01-07 01:15;-21.0;25;92;4.0
Berlin;2024-01-06 23:15;-1.0;100;74;25.9
Zurich;2024-01-06 23:15;3.0;100;93;3.6
Antalya;2024-01-07 01:30;18.0;75;68;20.2
Limassol;2024-01-07 00:30;13.0;25;82;6.1
city;last_updated;temp_c;cloud;humidity;wind_kph
Saint Petersburg;2024-01-07 01:30;-21.0;25;92;4.0
Berlin;2024-01-06 23:30;-1.0;100;69;25.9
Zurich;2024-01-06 23:30;3.0;100;93;3.6
Antalya;2024-01-07 01:30;18.0;75;68;20.2
Limassol;2024-01-07 00:30;13.0;25;82;6.1
